"id","incident_id","implicated_type","injured_count","dead_count"
767,202,101,0,0
768,202,105,0,0
769,207,105,0,0
770,207,105,0,0
771,209,101,0,0
772,209,95,0,0
773,206,99,0,0
774,206,99,0,0
775,206,105,0,0
776,206,105,0,0
777,201,95,0,0
811,210,97,0,0
812,210,97,0,0
813,211,101,0,0
814,211,95,0,0
815,214,95,0,0
816,214,155,0,0
817,215,97,0,0
818,215,99,0,0
819,216,105,0,0
820,218,99,0,0
821,218,155,0,0
822,219,105,0,0
823,219,105,0,0
824,220,95,0,0
825,220,95,0,0
837,222,95,0,0
838,222,105,0,0
839,224,95,0,0
840,224,105,0,0
841,225,95,0,0
842,225,97,0,0
843,226,95,0,0
844,226,NULL,0,0
845,227,95,0,0
846,227,95,0,0
847,227,105,0,0
848,228,95,0,0
849,228,95,0,0
853,231,95,0,0
854,231,105,0,0
863,232,95,0,0
864,232,95,0,0
865,232,105,0,0
866,235,97,0,0
867,235,105,0,0
868,236,105,0,0
869,236,105,0,0
1617,418,101,0,0
1618,418,104,0,0
2800,717,95,0,0
922,238,105,1,0
923,239,95,0,0
924,239,95,0,0
925,243,163,0,0
926,243,103,0,0
927,243,95,0,0
928,251,163,0,0
929,251,95,0,0
930,241,105,0,0
931,245,95,0,0
932,245,95,0,0
933,242,103,0,0
934,242,95,0,0
935,249,99,0,0
936,249,95,0,0
937,247,101,0,0
938,247,95,0,0
939,240,95,0,0
940,240,105,0,0
941,248,95,0,0
942,248,103,0,0
943,246,95,0,0
944,246,105,0,0
2801,717,104,0,0
1206,312,103,0,0
1207,312,105,0,0
1214,316,103,0,0
949,250,95,0,0
950,250,95,0,0
951,254,95,0,0
952,254,105,0,0
953,253,97,0,0
954,253,95,0,0
1215,316,103,0,0
1633,426,95,0,0
1634,426,164,0,0
1228,322,95,0,0
1229,322,95,0,0
1635,426,105,0,0
1642,435,95,0,0
1643,435,95,0,0
967,257,99,0,0
968,257,104,0,0
969,256,103,0,0
970,256,95,0,0
1251,325,95,0,0
973,252,163,0,0
974,255,103,0,0
975,255,105,1,0
976,258,95,0,0
977,258,105,1,0
978,259,101,0,0
979,259,103,0,0
980,260,101,0,0
981,260,99,0,0
982,261,95,0,0
983,261,105,0,0
984,262,163,0,0
985,262,95,0,0
992,263,95,0,0
993,263,105,0,0
994,265,116,0,0
995,265,95,0,0
996,264,95,0,0
997,264,105,0,0
1000,244,101,0,0
1001,244,104,1,0
1012,266,99,0,0
1013,266,155,0,0
1014,267,95,0,0
1015,267,105,0,0
1018,268,95,0,0
1019,268,95,0,0
1020,269,105,0,0
1021,269,104,0,0
1022,270,95,0,0
1023,270,101,0,0
1032,271,95,0,0
1033,271,105,0,0
1034,272,99,0,0
1035,272,162,0,0
1038,273,95,0,0
1039,273,95,0,0
1040,274,95,0,0
